Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Status
Alex Erickson,WR,CIN,0.0,0.0,0.0,1.4,0.0,2.9,34.7,0.2, 
Chris Godwin,WR,TB,0.0,0.0,0.0,0.0,0.0,2.8,36.3,0.2, 
Rashard Higgins,WR,CLE,0.0,0.0,0.0,0.0,0.0,2.5,34.9,0.2, 
Kendrick Bourne,WR,SF,0.0,0.0,0.0,0.0,0.0,3.1,34.6,0.2, 
DeAndre Carter,WR,HOU,0.0,0.0,0.0,3.4,0.0,2.6,31.9,0.2, 
Isaiah McKenzie,WR,BUF,0.0,0.0,0.0,3.0,0.0,2.8,34.0,0.1, 
Willie Snead,WR,BAL,0.0,0.0,0.0,2.3,0.0,3.0,33.6,0.1, 
Marcell Ateman,WR,OAK,0.0,0.0,0.0,0.0,0.0,2.8,35.3,0.2, 
John Brown,WR,BAL,0.0,0.0,0.0,2.1,0.0,2.2,34.1,0.2, 
Anthony Miller,WR,CHI,0.0,0.0,0.0,3.1,0.0,2.3,30.2,0.3,Q
Andre Roberts,WR,NYJ,0.0,0.0,0.0,0.0,0.0,2.6,32.4,0.2, 
Trent Sherfield,WR,ARI,0.0,0.0,0.0,0.0,0.0,2.5,31.8,0.2, 
Zach Pascal,WR,IND,0.0,0.0,0.0,1.6,0.0,2.3,26.9,0.2, 
Michael Crabtree,WR,BAL,0.0,0.0,0.0,0.0,0.0,2.6,31.3,0.2, 
DeVante Parker,WR,MIA,0.0,0.0,0.0,0.0,0.0,2.2,28.4,0.3, 
Andy Jones,WR,DET,0.0,0.0,0.0,0.0,0.0,2.5,31.5,0.1, 
T.J. Jones,WR,DET,0.0,0.0,0.0,0.0,0.0,2.5,31.8,0.1, 
Jermaine Kearse,WR,NYJ,0.0,0.0,0.0,0.0,0.0,2.5,28.3,0.2,Q
Bennie Fowler,WR,NYG,0.0,0.0,0.0,0.0,0.0,2.4,30.9,0.2, 
Brice Butler,WR,MIA,0.0,0.0,0.0,0.0,0.0,2.0,29.5,0.2, 
Chad Beebe,WR,MIN,0.0,0.0,0.0,0.0,0.0,2.3,29.8,0.2,Q
Keelan Cole,WR,JAX,0.0,0.0,0.0,0.0,0.0,2.5,32.4,0.1, 
Cole Beasley,WR,DAL,0.0,0.0,0.0,0.0,0.0,2.4,25.6,0.2, 
Nelson Agholor,WR,PHI,0.0,0.0,0.0,0.7,0.0,2.2,26.2,0.2, 
Chad Williams,WR,ARI,0.0,0.0,0.0,1.4,0.0,2.0,25.6,0.2, 
Michael Floyd,WR,WAS,0.0,0.0,0.0,0.0,0.0,2.3,28.2,0.1, 
Eli Rogers,WR,PIT,0.0,0.0,0.0,1.2,0.0,2.3,24.7,0.1, 
Tre'Quan Smith,WR,NO,0.0,0.0,0.0,0.0,0.0,1.7,24.6,0.2, 
Phillip Dorsett,WR,NE,0.0,0.0,0.0,0.0,0.0,2.1,25.2,0.2, 
Demarcus Robinson,WR,KC,0.0,0.0,0.0,0.0,0.0,1.8,23.1,0.2, 
Dontrelle Inman,WR,IND,0.0,0.0,0.0,0.0,0.0,1.9,22.5,0.2, 
Devin Funchess,WR,CAR,0.0,0.0,0.0,0.0,0.0,1.8,23.2,0.2, 
Aldrick Robinson,WR,MIN,0.0,0.0,0.0,0.0,0.0,1.7,23.5,0.2, 
