Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Emmanuel Sanders,DEN,1.0,0.16,0.0,4.61,58.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mohamed Sanu,ATL,1.0,1.53,0.01,4.08,47.11,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tajae Sharpe,TEN,1.0,0.3,0.0,1.95,27.48,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Russell Shepard,NYG,1.0,0.41,0.0,0.39,4.85,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sterling Shepard,NYG,1.0,0.69,0.0,4.2,52.59,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Matthew Slater,NE,1.0,0.08,0.0,0.07,3.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Torrey Smith,CAR,1.0,0.26,0.0,3.12,39.53,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tre'Quan Smith,NO,1.0,0.33,0.0,1.03,10.61,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Vyncint Smith,HOU,1.0,0.14,0.0,0.32,4.79,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
JuJu Smith-Schuster,PIT,1.0,0.15,0.0,6.1,77.47,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Willie Snead,BAL,1.0,0.04,0.0,2.72,32.95,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Kenny Stills,MIA,1.0,0.23,0.0,3.07,47.22,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Courtland Sutton,DEN,1.0,0.25,0.0,2.41,31.01,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Ryan Switzer,PIT,1.0,2.14,0.01,0.79,8.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Golden Tate,PHI,1.0,1.22,0.0,5.84,67.39,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
