Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Return TD,Fum Lost,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS
Deontay Burnett,NYJ,1.0,0.12,0.0,1.31,16.37,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Brice Butler,MIA,1.0,0.03,0.0,0.71,11.53,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Antonio Callaway,CLE,1.0,0.35,0.0,2.66,36.04,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Leonte Carroo,MIA,1.0,0.21,0.0,0.13,3.81,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
DeAndre Carter,HOU,1.0,1.11,0.01,2.76,33.23,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jehu Chesson,WAS,1.0,0.73,0.01,0.29,5.55,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Randall Cobb,GB,1.0,1.44,0.0,3.82,40.74,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Keelan Cole,JAX,1.0,0.03,0.0,0.66,13.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Corey Coleman,NYG,1.0,0.41,0.0,0.78,13.2,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Chris Conley,KC,1.0,0.29,0.0,2.53,34.32,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Brandin Cooks,LA,1.0,1.96,0.01,4.21,64.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Amari Cooper,DAL,1.0,2.12,0.01,3.65,57.83,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cody Core,CIN,1.0,0.21,0.0,2.13,30.28,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Michael Crabtree,BAL,1.0,0.11,0.0,1.95,30.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
River Cracraft,DEN,1.0,0.09,0.0,0.31,4.64,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jamison Crowder,WAS,1.0,2.06,0.02,3.88,51.61,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Corey Davis,TEN,1.0,1.9,0.01,3.97,55.72,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
