Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Freddie Martino, TB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kevin Smith, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Andre Debose, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"DiAndre Campbell, SF WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Issac Blakeney, Pit WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Geremy Davis, LAC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Da'Ron Brown, LAC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kenny Bell, Den WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Dres Anderson, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Keith Mumphery, Hou WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"DeAndrew White, Hou WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kaelin Clay, Car WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Dezmin Lewis, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Devin Smith, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Evan Spencer, TB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Rashad Greene Sr., Jax WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Dorial Green-Beckham, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Vince Mayle, Bal WR, TE",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Mario Alford, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"DeAndre Smelter, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Duron Carter, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Antwan Goodley, GB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Chris Matthews, Bal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Seantavius Jones, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Cameron Meredith, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Lucky Whitehead, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Quincy Enunwa, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Matt Hazel, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Chris Harper, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Tyler Murphy, Mia WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Bradley Marquez, Det WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Donteea Dye, TB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Javontee Herndon, Dal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Eric Rogers, SF WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Malcolm Mitchell, NE WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Tajae Sharpe, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jordan Payton, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Rashard Higgins, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Moritz Bohringer, Min WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Keenan Reynolds, Bal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kolby Listenbee, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Cody Core, Cin WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Aaron Burbridge, SF WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Devin Lucien, TB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Demarcus Ayers, Chi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Daniel Braverman, KC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Devin Lewis Fuller, Atl WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kenny Lawler, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Max McCaffrey, SF WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Reggie Bell, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jake Kumerow, GB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marquez North, LAR WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Roger Lewis, NYG WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Xavier Rush, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Dom Williams, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"R.J. Harris, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jordan Taylor, Den WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Paul McRoberts, LAR WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Wendall Williams, Hou WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Anthony Dable, Atl WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Darius Jennings, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Devon Cajuste, Cle WR, TE",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Mitch Mathews, Mia WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Keyarris Garrett, Car WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Bryce Treggs, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Nelson Spruce, KC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Paul Turner, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Chad Hansen, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Malachi Dupre, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"David Moore, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Carlos Henderson, Den WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Robert Davis, Wsh WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Isaiah Ford, Mia WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Stacy Coley, Min WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"DeAngelo Yancey, GB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jace Billingsley, Det WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Ishmael Zamora, Oak WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Darius Powe, NYG WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Rashawn Scott, Mia WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Rannell Hall, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Maurice Harris, Wsh WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Tanner Gentry, Chi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Damore'ea Stringfellow, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jordan Leslie, Den WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Travis Rudolph, NYG WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Carlton Agudosi, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Isaac Whitney, Oak WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Ed Eagan, NYG WR",--/--,--,--,--,--,--,--,--,--,--,--,WR
