Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Chad Hansen, Den WR",0/0,0,0,0,0,0,0,7.8,96.6,0.7,21.6,WR
"Tyler Ervin, Hou WR",0/0,0,0,0,11.4,69.9,0.2,4.4,55.7,0.4,21.2,WR
"Justin Hardy, Atl WR",0/0,0,0,0,0,0,0,6.8,80.7,0.6,20.3,WR
"Jaydon Mickens*, Jax WR IR",0/0,0,0,0,0,0,0,6,76,0.4,19.1,WR
"Equanimeous St. Brown, GB WR Q",0/0,0,0,0,0,0,0,6.3,79.5,0.6,18,WR
"Jordan Lasley, Bal WR",0/0,0,0,0,0,0,0,6.6,80,0.4,16.8,WR
"Deonte Thompson, Buf WR Q",0/0,0,0,0,0,0,0,5.7,79,0.4,16.3,WR
"Tajae Sharpe, Ten WR Q",0/0,0,0,0,0,0,0,5.8,77.5,0.5,16.3,WR
"Tommylee Lewis, NO WR",0/0,0,0,0,4.2,25.9,0.1,4,49,0.3,15.3,WR
"Shelton Gibson, Phi WR",0/0,0,0,0,0,0,0,5.5,70.2,0.5,15.3,WR
"Jarius Wright, Car WR",0/0,0,0,0,0,0,0,5.7,74.1,0.3,15.1,WR
"Marcus Johnson*, Ind WR IR",0/0,0,0,0,0,0,0,5,64.2,0.5,14.2,WR
"Marvin Hall, Atl WR",0/0,0,0,0,0,0,0,4.6,58.8,0.4,14,WR
"Kaelin Clay, NYG WR",0/0,0,0,0,0,0,0,3.2,42.6,0.2,13.5,WR
"Javon Wims, Chi WR",0/0,0,0,0,0,0,0,4.8,60.7,0.3,12.9,WR
"Demarcus Robinson, KC WR",0/0,0,0,0,0,0,0,4.7,57.1,0.4,12.7,WR
"Andre Roberts, NYJ WR",0/0,0,0,0,0,0,0,3.1,37.9,0.2,11.6,WR
"Pharoh Cooper, Ari WR",0/0,0,0,0,0,0,0,3.4,35.7,0.2,11.6,WR
"Ryan Switzer, Pit WR Q",0/0,0,0,0,0,0,0,3.4,42.1,0.3,11.5,WR
"De'Anthony Thomas*, KC WR IR",0/0,0,0,0,1.8,11.2,0.1,3.7,35.2,0.2,11,WR
"ArDarius Stewart, NYJ WR",0/0,0,0,0,3.4,20.9,0.1,2.7,33.6,0.2,9.6,WR
"Geremy Davis, LAC WR",0/0,0,0,0,0,0,0,3.2,41.7,0.3,9.1,WR
"Keon Hatcher, Oak WR",0/0,0,0,0,0,0,0,3.4,41.6,0.2,9,WR
"Trent Sherfield, Ari WR",0/0,0,0,0,0,0,0,3.4,42,0.2,8.9,WR
"Trevor Davis*, GB WR IR",0/0,0,0,0,3.8,23.7,0.1,1.6,19.9,0.2,8.8,WR
"Trey Quinn*, Wsh WR IR",0/0,0,0,0,0,0,0,3.2,40.3,0.2,8.8,WR
"Rashad Greene, Jax WR",0/0,0,0,0,0,0,0,3.3,34,0.2,8.2,WR
"Alex Erickson, Cin WR",0/0,0,0,0,1.9,11.5,0,2,26.5,0.1,8.2,WR
"Darrius Heyward-Bey, Pit WR",0/0,0,0,0,4,27.3,0.1,1.5,21.3,0.2,8.1,WR
"Damiere Byrd*, Car WR IR",0/0,0,0,0,4.4,27.4,0.1,1.5,18.7,0.1,7.9,WR
"Ray-Ray McCloud III, Buf WR",0/0,0,0,0,0,0,0,2.9,37.1,0.2,7.5,WR
"Robert Foster, Buf WR",0/0,0,0,0,0,0,0,2.9,37.1,0.2,7.5,WR
"DeAndre Carter, Hou WR",0/0,0,0,0,0,0,0,2.6,32.4,0.2,7.1,WR
"Darius Jennings, Ten WR",0/0,0,0,0,0,0,0,1.7,18,0.1,5.1,WR
"Isaiah McKenzie, Buf WR",0/0,0,0,0,0,0,0,1.7,21.2,0.1,4.9,WR
"Joshua Bellamy, Chi WR",0/0,0,0,0,0,0,0,1.5,21.8,0.1,4.8,WR
"Brandon Powell, Det WR",0/0,0,0,0,0,0,0,1.6,20.5,0.1,4.5,WR
"Tim Patrick, Den WR",0/0,0,0,0,0,0,0,1.7,21.2,0.1,4.5,WR
"Bradley Marquez, Det WR",0/0,0,0,0,0,0,0,1.7,19.7,0.1,4.5,WR
"Sammie Coates Jr., Hou WR",0/0,0,0,0,0,0,0,1.3,21.3,0.1,4.3,WR
"Russell Gage, Atl WR",0/0,0,0,0,0,0,0,1.5,19.6,0.1,4.3,WR
"Mike Thomas, LAR WR",0/0,0,0,0,0,0,0,1.5,18.7,0.1,4.2,WR
"Cameron Batson, Ten WR",0/0,0,0,0,0,0,0,1.5,18.3,0.1,4,WR
"Damion Ratley, Cle WR",0/0,0,0,0,0,0,0,1.5,18.1,0.1,4,WR
"Victor Bolden Jr., Buf WR",0/0,0,0,0,0,0,0,1.3,16.2,0.1,3.5,WR
"Auden Tate, Cin WR",0/0,0,0,0,0,0,0,1.2,15.3,0.1,3.3,WR
"Maurice Harris*, Wsh WR IR",0/0,0,0,0,0,0,0,1,12.1,0.1,3.3,WR
"Justin Watson, TB WR",0/0,0,0,0,0,0,0,1,12.2,0.1,2.7,WR
"Janarion Grant, Bal WR",0/0,0,0,0,0,0,0,0,0,0,2,WR
"Tanner McEvoy, Mia WR",0/0,0,0,0,0,0,0,0.6,9.2,0.1,1.9,WR
"Freddie Martino, TB WR",0/0,0,0,0,0,0,0,0.7,8.1,0.1,1.8,WR
"Cam Sims*, Wsh WR IR",0/0,0,0,0,0,0,0,0.6,8.1,0,1.7,WR
"Richie James, SF WR",0/0,0,0,0,0,0,0,0.4,5.4,0,1.1,WR
"Markus Wheaton, Phi WR",0/0,0,0,0,0,0,0,0.3,4,0,0.9,WR
"J.J. Jones, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0.8,WR
"Anquan Boldin, FA WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Devin Hester, Sea WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Calvin Johnson, FA WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Eric Weems, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Eddie Royal, Chi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Harry Douglas, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Matthew Slater, NE WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kenny Britt, FA WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Percy Harvin*, FA WR O",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jeremy Maclin*, FA WR O",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Louis Murphy, SF WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jordan Norwood, Den WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brandon Tate, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Dez Bryant*, NO WR IR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Arrelious Benn, Jax WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Eric Decker, FA WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marc Mariani, Ten WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Victor Cruz, FA WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marlon Moore*, Cle WR O",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Bryan Walters, Jax WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Andrew Hawkins, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Greg Salas, Buf WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Aldrick Robinson, Min WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Cecil Shorts III, TB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jeremy Ross, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kamar Aiken, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Michael Floyd, Wsh WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kendall Wright, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brian Quick, Wsh WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"DeVier Posey, Bal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Nathan Palmer, Oak WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Griff Whalen, Oak WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Rod Streater*, Cle WR IR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brittan Golden, NYG WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Charles Johnson, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brice Butler, Mia WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"B.J. Daniels, Atl WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
