Player,Team,GP,Pass Yds,Pass TD,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Keon Hatcher,OAK,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darrius Heyward-Bey,PIT,1.0,0.0,0.0,-6.7,0.0,1.12,12.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashard Higgins,CLE,1.0,0.0,0.0,0.03,0.0,37.79,523.07,4.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyreek Hill,KC,1.0,0.0,0.0,142.97,0.07,86.6,1451.43,11.46,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,1.05
T.Y. Hilton,IND,1.0,0.0,0.0,0.19,0.0,79.36,1290.89,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
KhaDarel Hodge,LAR,1.0,0.0,0.0,0.4,0.0,2.76,26.28,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Hogan,NE,1.0,0.0,0.0,1.41,0.0,30.58,496.49,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andre Holmes,DEN,0.0,0.0,0.0,0.0,0.0,13.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Hopkins,HOU,1.0,0.0,0.0,-6.81,0.0,108.98,1519.17,11.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Humphries,TB,1.0,0.0,0.0,11.53,0.0,75.87,807.27,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Hunter,PIT,0.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Allen Hurns,DAL,1.0,0.0,0.0,0.02,0.0,19.42,251.12,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
