Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Laquon Treadwell,MIN,1.0,0.03,0.0,2.55,26.95,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammy Watkins,KC,1.0,3.48,0.03,3.72,50.32,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Watson,TB,1.0,0.19,0.0,0.33,5.95,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dede Westbrook,JAX,1.0,1.28,0.01,3.92,52.19,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Kevin White,CHI,1.0,0.21,0.0,0.4,6.81,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chad Williams,ARI,1.0,0.71,0.01,1.74,21.04,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Williams,LAC,1.0,1.42,0.01,3.1,44.09,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Nick Williams,FA,1.0,0.06,0.0,0.79,8.77,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyrell Williams,LAC,1.0,0.61,0.0,2.97,54.34,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Albert Wilson,MIA,1.0,2.31,0.0,3.79,46.46,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Woods,LAR,1.0,2.78,0.0,6.25,89.26,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarius Wright,CAR,1.0,0.28,0.0,2.14,27.18,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Zylstra,MIN,1.0,0.12,0.0,0.23,4.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
