Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Ryan Grant,IND,1.0,0.06,0.0,3.29,42.87,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
A.J. Green,CIN,1.0,0.2,0.0,5.35,74.6,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Hall,ATL,1.0,0.07,0.0,0.58,8.28,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DaeSean Hamilton,DEN,1.0,0.25,0.0,0.36,5.72,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Justin Hardee,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.05,0.0,0.01,0.01,0.01,0.03,WR,0.0
Justin Hardy,ATL,1.0,0.11,0.0,0.31,5.34,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Dwayne Harris,OAK,1.0,0.15,0.0,0.4,7.65,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darrius Heyward-Bey,PIT,1.0,0.23,0.0,0.23,4.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Rashard Higgins,CLE,1.0,0.03,0.0,2.21,25.87,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyreek Hill,KC,1.0,6.81,0.06,5.04,84.87,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.07
T.Y. Hilton,IND,1.0,0.16,0.0,5.83,67.62,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
KhaDarel Hodge,LAR,1.0,0.28,0.0,0.5,6.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chris Hogan,NE,1.0,1.6,0.0,3.25,52.86,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andre Holmes,DEN,1.0,0.46,0.0,1.46,17.74,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeAndre Hopkins,HOU,1.0,0.45,0.0,5.7,80.23,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Humphries,TB,1.0,0.72,0.0,3.22,36.39,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
