Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Josh Boyce, Cle WR",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Chris Harper, NYG WR",@SF,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Corey Fuller, NO WR",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kenny Stills, Mia WR",@Car,L 21-45,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Marquess Wilson, Phi WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Quinton Patton, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Da'Rick Rogers, KC WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Jaron Brown, Sea WR",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Russell Shepard, Car WR",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Ryan Spadola, Det WR",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Nick Williams, Atl WR",Dal,W 27-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Rodney Smith, Sea WR",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kenbrell Thompkins, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Myles White, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Marlon Brown, Den WR",NE,L 16-41,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Sammy Watkins, KC WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Kelvin Benjamin, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brandin Cooks, LAR WR",Hou,W 33-7,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Odell Beckham Jr., NYG WR",@SF,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Mike Evans, TB WR",NYJ,W 15-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jordan Matthews, NE WR",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Josh Huff, NO WR",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Paul Richardson, Wsh WR",Min,L 30-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Marqise Lee, Jax WR",LAC,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jarvis Landry, Cle WR",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Donte Moncrief, Jax WR",LAC,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Cody Latimer, NYG WR",@SF,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Allen Robinson, Chi WR",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Davante Adams, GB WR",@Chi,W 23-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"John Brown, Bal WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Shaq Evans, Dal WR",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jeremy Gallon, NE WR",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jared Abbrederis, Det WR",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kevin Norwood, NYG WR",@SF,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Martavis Bryant, Pit WR",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
