NFL $5 Double Up	$5.00	$3,000	20	689	689	44%	209.06	$10	158.90	$10.00
NFL $3 Double Up	$3.00	$3,000	20	1,149	1,149	44%	223.76	$6	157.80	$6.00
NFL $3 Double Up	$3.00	$3,000	20	1,149	1,149	44%	215.50	$6	159.80	$6.00
NFL BIG 10x Booster [Top 30 Win $100]	$10.00	$3,000	10	352	352	9%	214.70	$100	178.00	$100.00
NFL $5 Double Up	$5.00	$3,000	20	689	689	44%	209.76	$10	160.70	$10.00
NFL BIG $25 Triple Up [Top 36 Win $75]	$25.00	$2,700	1	124	124	29%	200.70	$75	165.80	$75.00
NFL BIG 10x Booster [Top 50 Win $50]	$5.00	$2,500	17	594	594	8%	225.56	$50	175.20	$50.00
Beginner NFL $2K First Down	$1.00	$2,000	5	2,378	2,378	19%	216.52	$200	157.30	$2.00
NFL $2K Quarter Jukebox [Just $0.25!]	$0.25	$2,000	20	9,512	9,512	21%	223.50	$100	158.56	$0.50
NFL $2K Safety	$2.00	$2,000	20	1,189	1,189	25%	221.24	$100	158.26	$4.00
NFL $5 Double Up	$5.00	$2,000	13	459	459	44%	200.70	$10	155.40	$10.00
NFL BIG 10x Booster [Top 100 Win $20]	$2.00	$2,000	20	1,189	1,189	8%	213.24	$20	174.00	$20.00
Spookyexpress.com Newsletter and No Deposit Bonus Conference Cha	$10.00	$1,800	1	200	0	50%		$0		$0.00
NFL $10 200-Player (Winner Takes All)	$10.00	$1,800	1	200	0	1%		$0		$0.00
NFL $10 50-50 #1 x3	$10.00	$1,800	1	200	200	50%	214.70	$18	156.80	$18.00
NFL $10 50-50 #1 x2	$10.00	$1,800	1	200	0	50%		$0		$0.00
NFL $10 200-Player (Top 3 Win)	$10.00	$1,800	1	200	0	2%		$0		$0.00
NFL $10 200-Player (Top 20 Win)	$10.00	$1,800	1	200	0	10%		$0		$0.00
NFL $5 Double Up [3 Entry Max]	$5.00	$1,500	3	344	344	44%	209.06	$10	159.36	$10.00
NFL $5 Double Up [3 Entry Max]	$5.00	$1,500	3	344	344	44%	203.60	$10	158.50	$10.00
NFL $5 Double Up [3 Entry Max]	$5.00	$1,500	3	344	344	44%	203.60	$10	161.30	$10.00
NFL $5 Double Up [3 Entry Max]	$5.00	$1,500	3	344	344	44%	209.06	$10	159.80	$10.00
NFL $5 Double Up [3 Entry Max]	$5.00	$1,500	3	344	344	44%	203.60	$10	160.70	$10.00
NFL $5 Double Up [3 Entry Max]	$5.00	$1,500	3	344	344	44%	209.06	$10	159.30	$10.00
NFL $5 Double Up [3 Entry Max]	$5.00	$1,500	3	344	344	44%	209.06	$10	160.86	$10.00
NFL $5 Double Up [3 Entry Max]	$5.00	$1,500	3	344	344	44%	203.60	$10	159.36	$10.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	211.10	$20	155.66	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.70	$20	158.50	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	211.10	$20	157.80	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	208.10	$20	156.40	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.70	$20	155.70	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.70	$20	158.50	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	211.10	$20	161.40	$20.00
Casual NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	193.60	$20	155.50	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.70	$20	158.50	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	209.76	$20	160.30	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.90	$20	159.00	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	201.30	$20	159.80	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.70	$20	161.10	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.70	$20	159.00	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	201.46	$20	160.90	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.70	$20	161.10	$20.00
Beginner NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	213.80	$20	151.52	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	211.10	$20	159.80	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.70	$20	158.50	$20.00
Casual NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	202.70	$20	155.66	$20.00
Casual NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	197.50	$20	161.20	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.70	$20	157.30	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.90	$20	158.50	$20.00
NFL $10 Double Up	$10.00	$1,080	1	124	124	44%	200.70	$20	156.56	$20.00
NFL $1 Double Up	$1.00	$1,000	20	1,149	1,149	44%	208.70	$2	160.96	$2.00
NFL $1 Double Up	$1.00	$1,000	20	1,149	1,149	44%	196.40	$2	159.10	$2.00
Beginner NFL $1K Button Hook [Single Entry]	$9.00	$1,000	1	130	130	22%	205.60	$100	162.50	$18.00
Beginner NFL $1K Pylon [Single Entry]	$3.00	$1,000	1	396	396	20%	213.80	$100	164.74	$6.00
Casual NFL 10x Booster [Top 10 Win $100]	$10.00	$1,000	3	117	117	9%	186.70	$100	166.96	$100.00
NFL $1 Double Up	$1.00	$1,000	20	1,149	1,149	44%	207.26	$2	160.96	$2.00
NFL $1 Double Up	$1.00	$1,000	20	1,149	1,149	44%	202.16	$2	157.80	$2.00
NFL $1 Double Up	$1.00	$1,000	20	1,149	1,149	44%	204.46	$2	157.10	$2.00
NFL $3 Contest	$3.00	$1,000	11	396	396	20%	210.30	$100	162.84	$6.00
NFL $9 Contest	$9.00	$1,000	3	130	130	22%	203.10	$100	165.10	$18.00
NFL $5 Contest	$5.00	$1,000	7	237	237	21%	204.44	$125	166.26	$10.00
NFL $3 Contest	$3.00	$1,000	11	396	396	20%	211.80	$100	165.00	$6.00
NFL $9 Winner Take All [$1K to 1st]	$9.00	$1,000	3	130	130	1%	213.26	$1,000	213.26	$1,000.00
NFL $5 Winner Take All [$1K to 1st]	$5.00	$1,000	6	237	237	0%	213.26	$1,000	213.26	$1,000.00
NFL $3 Winner Take All [$1K to 1st]	$3.00	$1,000	10	396	396	0%	210.10	$1,000	210.10	$1,000.00
NFL 10x Booster [Top 10 Win $100]	$10.00	$1,000	3	117	117	9%	199.00	$100	177.10	$100.00
NFL 10x Booster [Top 10 Win $100]	$10.00	$1,000	3	117	117	9%	199.00	$100	179.32	$100.00
NFL $9 Winner Take All [$1K to 1st]	$9.00	$1,000	3	130	130	1%	210.10	$1,000	210.10	$1,000.00
Casual NFL 10x Booster [Top 10 Win $100]	$10.00	$1,000	3	117	117	9%	200.40	$100	172.80	$100.00
NFL $1 Double Up	$1.00	$1,000	20	1,149	1,149	44%	202.70	$2	155.76	$2.00
Casual NFL 10x Booster [Top 10 Win $100]	$10.00	$1,000	3	117	117	9%	191.50	$100	174.30	$100.00
Beginner NFL 10x Booster [Top 10 Win $100]	$10.00	$1,000	3	117	117	9%	197.20	$100	167.86	$100.00
NFL 10x Booster [Top 10 Win $100]	$10.00	$1,000	3	117	117	9%	201.00	$100	175.70	$100.00
NFL $5 Winner Take All [$1K to 1st]	$5.00	$1,000	6	237	237	0%	204.70	$1,000	204.70	$1,000.00
NFL $3 Winner Take All [$1K to 1st]	$3.00	$1,000	10	396	396	0%	239.04	$1,000	239.04	$1,000.00
NFL $3 Double Up [3 Entry Max]	$3.00	$900	3	344	344	44%	215.50	$6	164.50	$6.00
NFL $5 50-50 #1 x4	$5.00	$900	1	200	200	50%	216.40	$9	157.86	$9.00
NFL $3 Double Up [3 Entry Max]	$3.00	$900	3	344	344	44%	215.50	$6	161.80	$6.00
NFL $5 200-Player (Top 10 Win)	$5.00	$900	1	200	0	5%		$0		$0.00
NFL $3 Double Up [3 Entry Max]	$3.00	$900	3	344	344	44%	200.70	$6	161.30	$6.00
Sunday showdown #1	$5.00	$900	1	200	0	50%		$0		$0.00
NFL $5 200-Player (Winner Takes All)	$5.00	$900	1	200	0	1%		$0		$0.00
NFL $3 Double Up [3 Entry Max]	$3.00	$900	3	344	344	44%	215.50	$6	161.52	$6.00
Spookyexpress.com Newsletter and No Deposit Bonus Championship #	$5.00	$900	1	200	0	50%		$0		$0.00
NFL $5 50-50 #1 x3	$5.00	$900	1	200	0	50%		$0		$0.00
NFL $10 Triple Up [Top 30 Win $30] (Multi-Entry)	$10.00	$900	3	103	103	29%	200.70	$30	161.16	$30.00
NFL $3 Double Up [3 Entry Max]	$3.00	$900	3	344	344	44%	203.60	$6	160.96	$6.00
NFL $3 Double Up [3 Entry Max]	$3.00	$900	3	344	344	44%	203.60	$6	159.80	$6.00
NFL $3 Double Up [3 Entry Max]	$3.00	$900	3	344	344	44%	203.60	$6	159.76	$6.00
NFL $5 50-50 #1	$5.00	$900	1	200	200	50%	216.40	$9	158.36	$9.00
NFL BIG $5 Triple Up [Top 60 Win $15]	$5.00	$900	1	206	206	29%	211.10	$15	165.20	$15.00
NFL $3 Double Up [3 Entry Max]	$3.00	$900	3	344	344	44%	203.60	$6	159.30	$6.00
Casual NFL 10x Booster [Top 25 Win $30]	$3.00	$750	8	297	297	8%	217.10	$30	177.90	$30.00
NFL $1 Double Up [3 Entry Max]	$1.00	$750	3	862	862	44%	213.70	$2	158.90	$2.00
Casual NFL 10x Booster [Top 25 Win $30]	$3.00	$750	8	297	297	8%	207.50	$30	178.86	$30.00
NFL $1 Double Up [3 Entry Max]	$1.00	$750	3	862	862	44%	213.70	$2	159.00	$2.00
Beginner NFL 10x Booster [Top 25 Win $30]	$3.00	$750	3	297	297	8%	200.30	$30	171.86	$30.00
NFL $1 Double Up [3 Entry Max]	$1.00	$750	3	862	862	44%	212.40	$2	159.70	$2.00
NFL $1 Double Up [3 Entry Max]	$1.00	$750	3	862	862	44%	212.40	$2	159.60	$2.00
NFL $5 Triple Up [Top 45 Win $15] (Multi-Entry)	$5.00	$675	4	155	155	29%	224.10	$15	162.30	$15.00
NFL $5 50-50	$5.00	$675	1	150	150	50%	200.20	$9	157.86	$9.00
NFL $3 Double Up	$3.00	$600	1	229	229	44%	208.00	$6	159.30	$6.00
NFL $3 Double Up	$3.00	$600	1	229	229	44%	214.70	$6	160.60	$6.00
NFL $3 Double Up	$3.00	$600	1	229	229	44%	208.00	$6	161.50	$6.00
NFL $3 Double Up	$3.00	$600	1	229	229	44%	208.00	$6	160.36	$6.00
NFL $3 Double Up	$3.00	$600	1	229	229	44%	203.60	$6	159.80	$6.00
NFL $3 Double Up	$3.00	$600	1	229	229	44%	203.60	$6	158.70	$6.00
NFL $3 Double Up	$3.00	$600	1	229	229	44%	214.70	$6	160.06	$6.00
NFL $3 Double Up	$3.00	$600	1	229	229	44%	208.00	$6	159.80	$6.00
NFL Satellite to $100K Golden Goal	$3.00	$555	6	219	219	0%	200.70	$0	200.70	$0.00
NFL Satellite to NBA $555 Stretch 5’s	$5.00	$555	3	131	131	1%	195.50	$0	195.50	$0.00
NFL Satellite to $100K Golden Goal	$3.00	$555	6	219	219	0%	210.80	$0	210.80	$0.00
NFL $5 Double Up	$5.00	$540	1	124	124	44%	211.10	$10	160.20	$10.00
NFL $5 Double Up	$5.00	$540	1	124	124	44%	211.10	$10	160.20	$10.00
Beginner NFL $5 Double Up	$5.00	$540	1	124	124	44%	197.06	$10	149.80	$10.00
