Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Gerald Christian, Ari TE",Chi,L 14-16,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Clive Walford, NYJ TE",@Cle,L 17-21,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Neal Sterling*, NYJ TE IR",@Cle,L 17-21,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Blake Bell, Jax TE",Ten,L 6-9,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Nick O'Leary, Mia TE",Oak,W 28-20,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Darren Waller, Oak TE",@Mia,L 20-28,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Ben Koyack, Jax TE Q",Ten,L 6-9,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Kennard Backman, Det TE",NE,W 26-10,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Vince Mayle, Bal TE",Den,W 27-14,0/0,0,0,0,0,0,0,0,0,0,0,TE
"E.J. Bibbs, Wsh TE",GB,W 31-17,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Will Tye, NE TE",@Det,L 10-26,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Daniel Brown, Chi TE",@Ari,W 16-14,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Hunter Henry, LAC TE",@LAR,L 23-35,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Seth DeValve, Cle TE",NYJ,W 21-17,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Temarrick Hemingway, Den TE",@Bal,L 14-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jerell Adams, NYG TE",@Hou,W 27-22,0/0,0,0,0,0,0,0,0,0,0,0,TE
"David Morgan, Min TE",Buf,L 6-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Thomas Duarte, Mia TE",Oak,W 28-20,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Beau Sandland, GB TE Q",@Wsh,L 17-31,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Cole Wick*, Ten TE IR",@Jax,W 9-6,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Stephen Anderson, Hou TE",NYG,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Bryce Williams, Ari TE",Chi,L 14-16,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Devon Cajuste, Cle TE",NYJ,W 21-17,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Braedon Bowman, LAC TE",@LAR,L 23-35,0/0,0,0,0,0,0,0,0,0,0,0,TE
