Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Mike Boone,MIN,1.0,8.64,0.05,0.31,1.86,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rex Burkhead,NE,1.0,19.64,0.13,1.53,14.89,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Trenton Cannon,NYJ,1.0,11.61,0.07,1.01,10.48,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Carson,SEA,1.0,73.4,0.63,1.16,12.9,0.07,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nick Chubb,CLE,1.0,73.28,0.56,1.76,15.46,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tarik Cohen,CHI,1.0,26.28,0.17,3.05,36.03,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Derrick Coleman,ARI,1.0,1.26,0.0,0.45,2.05,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tevin Coleman,ATL,1.0,58.59,0.39,2.12,15.87,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Conner,PIT,1.0,63.27,0.54,2.68,21.26,0.11,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dalvin Cook,MIN,1.0,69.7,0.36,3.25,28.48,0.12,0.22,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Benny Cunningham,CHI,1.0,4.24,0.02,0.37,2.83,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Justin Davis,LAR,1.0,10.67,0.07,0.64,4.59,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Davis,SEA,1.0,22.43,0.17,1.86,16.64,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Matt Dayes,SF,1.0,4.29,0.03,0.44,3.33,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Develin,NE,1.0,1.18,0.04,0.96,5.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Patrick DiMarco,BUF,1.0,2.25,0.01,0.34,2.83,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
